ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chi2	dof	redchi2	aic
2.0	0.0	0.0	0.2648150210950587	0.05123863202163131	37.61049283611993	0.07694525245385607	0.40175836218911853	0.09328901760386535	0.06487953645267518	0.10161184390741554	357.96644925083916	137.0	2.6128937901521105	375.04107611651085
2.0	0.0	0.0	0.2556946658155843	0.02369942512795579	35.468343075136396	0.19897820574348699	1.2545340863341443	0.2096614035052604	0.06487953645267518	0.10161184390741554	357.96644925083916	137.0	2.6128937901521105	375.04107611651085
2.0	0.0	1.0	0.4334206826060812	0.03543971753917592	37.41749572682099	0.07202391132917162	0.5974346733512845	0.06991271113792606	0.05451113817012364	0.1052605872692511	549.5385173407129	137.0	4.011230053581846	566.6131442063847
2.0	0.0	1.0	0.29643907987657264	0.028218815941774424	34.98831063956216	0.133758549945761	0.950536098954684	0.14551566887886172	0.05451113817012364	0.1052605872692511	549.5385173407129	137.0	4.011230053581846	566.6131442063847
2.0	0.0	2.0	0.6440653678695548	0.03199848544764209	37.429778384921065	0.03548015573571055	0.5788705619634775	0.036898060739364795	0.04836632619213321	0.09565231558476948	579.1840024380346	137.0	4.227620455752077	596.2586293037062
2.0	0.0	2.0	0.3255519369577463	0.028207312755502867	34.858127180740226	0.07975932194786617	0.7661300006494067	0.08588559436636245	0.04836632619213321	0.09565231558476948	579.1840024380346	137.0	4.227620455752077	596.2586293037062
2.0	0.0	3.0	0.8040505765405529	0.02503445114578364	37.42379517292292	0.020115179184292443	0.5585671693349026	0.020396720658268367	0.04834421448766047	0.07412462845871062	343.95951952904454	137.0	2.510653427219303	361.0341463947162
2.0	0.0	3.0	0.3139188939742798	0.025362601005357963	34.85105499624733	0.050849099073721156	0.5441577178776753	0.05154413223355103	0.04834421448766047	0.07412462845871062	343.95951952904454	137.0	2.510653427219303	361.0341463947162
2.0	0.0	4.0	0.848854501646986	0.020668709997703077	37.380267781919095	0.016004801130560825	0.569393417743459	0.016098823860080387	0.05105861165536837	0.06250625836527351	215.08134932045493	137.0	1.5699368563536857	232.15597618612662
2.0	0.0	4.0	0.26860587660444185	0.0242887987493501	34.92119716380531	0.0430360473506979	0.41184274132704024	0.04322526686031616	0.05105861165536837	0.06250625836527351	215.08134932045493	137.0	1.5699368563536857	232.15597618612662
1.0	0.0	5.0	0.7855569836958969	0.026462988523683718	37.320273676426616	0.023844225275829176	0.6129826926334836	0.023844186838121516	0.06810391524737232	0.08186086026452985	218.72500976553096	140.0	1.5623214983252212	227.01486483799474
2.0	1.0	0.0	0.3018244184740433	0.03474917217891214	37.451186395748074	0.06393797600220597	0.5092146466605478	0.06641354651644252	0.05351479572580326	0.0697938029232426	244.77162885088114	137.0	1.7866542251889135	261.8462557165528
2.0	1.0	0.0	0.1782899130189178	0.017178979528269106	35.357813064644674	0.21627676792641978	1.1099858434741923	0.21610997508679844	0.05351479572580326	0.0697938029232426	244.77162885088114	137.0	1.7866542251889135	261.8462557165528
2.0	1.0	1.0	0.47101892211396434	0.02596629481488002	37.38277087875081	0.044803001084091625	0.5709442068049366	0.04236047057349242	0.042067204194523505	0.06864312019635861	388.40560700183596	137.0	2.8350774233710654	405.4802338675076
2.0	1.0	1.0	0.1952820739457707	0.017777477169419312	35.09181957121255	0.15599814735006767	1.0123579118799375	0.16431362737763608	0.042067204194523505	0.06864312019635861	388.40560700183596	137.0	2.8350774233710654	405.4802338675076
2.0	1.0	2.0	0.6778649456912518	0.02267318476154519	37.407995736827736	0.02603901460779109	0.5547284769550394	0.025642027416034035	0.03886451956679228	0.06555971563438118	414.27053848388414	137.0	3.0238725436779865	431.34516534955577
