ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chi2	dof	redchi2	aic
2.0	5.0	10.0	0.47388375583467657	0.010115823042937662	37.41371427337628	0.021112058808346275	0.5843147636031749	0.022018944756898272	0.03082140346254371	0.029451511498124378	132.70315507503702	137.0	0.9686361684309271	149.77778194070862
2.0	5.0	10.0	0.2152983043985427	0.012645016905257996	38.8809553253632	0.03743896682622486	0.39743045547313866	0.03491485095677679	0.03082140346254371	0.029451511498124378	132.70315507503702	137.0	0.9686361684309271	149.77778194070862
2.0	5.0	12.0	0.5426629940251104	0.010146725578159536	37.63737255434548	0.03300289184829149	0.6822905848365305	0.029733150465917225	0.032781393178086315	0.032163230449905406	137.77744442457532	137.0	1.0056747768217176	154.85207129024695
2.0	5.0	12.0	0.22532766703649565	0.02504934381252481	38.85713562292927	0.03630744850051963	0.3373271655805248	0.03680957188463834	0.032781393178086315	0.032163230449905406	137.77744442457532	137.0	1.0056747768217176	154.85207129024695
2.0	3.0	0.0	0.7307259767143206	0.06411552709187217	37.85075345395604	0.10166349903720799	1.1037684005360555	0.0323282700579644	0.03778893652801461	0.09222838837918443	989.6507709867664	137.0	7.223728255377857	1006.7253978524382
2.0	3.0	0.0	-0.5562367959444171	0.08656339416118383	38.73090981305498	0.03095460054000359	0.6357609548998527	0.04931026209769326	0.03778893652801461	0.09222838837918443	989.6507709867664	137.0	7.223728255377857	1006.7253978524382
2.0	3.0	10.0	48.36725754343697	36466.21167318195	37.986347195825715	1.6159526288290738	0.6005101038780809	1.6113741044304368	0.02836511852926937	0.030726611014775494	168.08521266232273	137.0	1.2268993624987061	185.15983952799436
2.0	3.0	10.0	-47.973577834700436	36466.209936801424	37.990533562711306	1.604616639470055	0.5962963211527998	1.63023446691731	0.02836511852926937	0.030726611014775494	168.08521266232273	137.0	1.2268993624987061	185.15983952799436
2.0	3.0	12.0	160.71671921805162	953711.8586790878	37.98558953747446	2.980621545094856	0.6007038083729412	3.1494565680034348	0.028365990692051108	0.03182581217308305	180.10327550406814	137.0	1.314622448934804	197.17790236446837
2.0	3.0	12.0	-160.17405383991476	953711.8530599856	37.98659159181941	2.9758999701474993	0.5996412905766694	3.1664032101095145	0.028365990692051108	0.03182581217308305	180.10327550406814	137.0	1.314622448934804	197.17790236446837
2.0	1.0	0.0	0.5091824397836914	0.04950968742237499	39.027508933255504	0.18551515976814636	2.7733644760131955	0.10563714090887882	0.04534841596062785	0.08300745888061105	479.12256924879256	137.0	3.4972450310130845	496.1971961144643
2.0	1.0	0.0	-0.5804739817291868	0.050977601480980225	39.62864955027535	0.05228306219121498	1.1575830394855608	0.0759347005392141	0.04534841596062785	0.08300745888061105	479.12256924879256	137.0	3.4972450310130845	496.1971961144643
2.0	1.0	2.0	0.5890688640647441	0.06665190343107266	37.75395873782135	0.12790142579581773	1.0312861033223168	0.04012038637024605	0.03424472046641886	0.0649292989678994	615.957480011418	137.0	4.496040000083344	633.0321068770897
2.0	1.0	2.0	-0.42277560721430907	0.09327637236234591	38.60583559647884	0.037205093975853906	0.6081622165216729	0.061925905308254536	0.03424472046641886	0.0649292989678994	615.957480011418	137.0	4.496040000083344	633.0321068770897
