ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chi2	dof	redchi2	aic
2.0	5.0	0.0	0.13564699376844377	0.009349648033369507	34.93635981303683	0.06580809025666313	0.7714877569750311	0.0717731233062488	0.0329379229775137	0.04563517667539658	277.5209264695275	137.0	2.02570019320823	294.5955533351991
2.0	5.0	0.0	0.6969451002455456	0.010684020394167966	37.38237225701018	0.011165074329768213	0.5681026301463782	0.011571613903327388	0.0329379229775137	0.04563517667539658	277.5209264695275	137.0	2.02570019320823	294.5955533351991
2.0	5.0	4.0	0.06637307400326693	0.0059821199008336	35.31131196191051	0.19321362853901783	1.0467648235073368	0.1911508888297293	0.024221092819948158	0.0287147424849199	202.54231650290572	137.0	1.4784110693642754	219.6169433685774
2.0	5.0	4.0	0.607549791722389	0.011157848724629795	37.400748071769115	0.012056969626490423	0.5393342512048416	0.011576643486689842	0.024221092819948158	0.0287147424849199	202.54231650290572	137.0	1.4784110693642754	219.6169433685774
2.0	5.0	8.0	0.5840971030913704	0.008653792869196394	37.415322102305026	0.01040063439397206	0.5592102954084083	0.011507012256900656	0.025775294781261126	0.023941192419870565	124.29487651865654	137.0	0.9072618723989528	141.36950338432817
2.0	5.0	8.0	0.11012315865604773	0.011307454978745945	38.9308360936826	0.04169907780771186	0.31107565689781425	0.042093488047415306	0.025775294781261126	0.023941192419870565	124.29487651865654	137.0	0.9072618723989528	141.36950338432817
2.0	5.0	12.0	0.5707012976320014	0.008054926875382772	37.67109402138677	0.015938613440512762	0.6568447315265492	0.01683705338910906	0.025736123797435485	0.025573845371269582	141.83216732841532	137.0	1.0352712943679951	158.90679419408696
2.0	5.0	12.0	0.11755873734500945	0.014794490239273164	38.952689004214726	0.04052316808712304	0.28126837580601105	0.04268959705892061	0.025736123797435485	0.025573845371269582	141.83216732841532	137.0	1.0352712943679951	158.90679419408696
1.0	5.0	16.0	0.4626940540173848	0.008491805255585702	37.95909664903903	0.011981222134625895	0.5653615182470799	0.01198122227091957	0.026233471686515467	0.030178284924825185	206.50623473999974	140.0	1.475044533857141	214.7960898124635
1.0	5.0	20.0	0.3897749491478185	0.014611017644504863	38.04458743106627	0.015775316141749766	0.36445264088541895	0.01577531599729405	0.03624050050197018	0.031831989642992685	141.9278443097027	140.0	1.0137703164978764	150.21769938216644
2.0	1.0	0.0	0.13412038214323624	0.009266709457933581	34.96713141360762	0.07227375318637075	0.8150589578083784	0.0794984986116158	0.03340992500135643	0.04613496527005153	275.8269387117178	137.0	2.0133353190636334	292.9015655773894
2.0	1.0	0.0	0.632165946981484	0.010851057826763795	37.377575846217674	0.012993802035510748	0.5649905141440115	0.013278074134587307	0.03340992500135643	0.04613496527005153	275.8269387117178	137.0	2.0133353190636334	292.9015655773894
2.0	1.0	4.0	0.06853838636709651	0.006621717574142622	35.12162367823924	0.11857808561696571	0.8608847519028228	0.12984357044328912	0.024398157519803735	0.02865034662904336	199.3710156173188	137.0	1.4552628877176554	216.4456424829904
2.0	1.0	4.0	0.5738029227235509	0.008199655815122466	37.37602947693976	0.011288684903422677	0.5453239750837813	0.011085318263194322	0.024398157519803735	0.02865034662904336	199.3710156173188	137.0	1.4552628877176554	216.4456424829904
2.0	1.0	8.0	0.5869415911995042	0.008567555785365371	37.406693975101454	0.00989342566071392	0.5442371271320681	0.010915676912183564	0.025211270834962596	0.023672112310043413	126.49572991175953	137.0	0.9233264957062739	143.5703567774312
2.0	1.0	8.0	0.09737899544828636	0.010965191013664785	38.92426561266553	0.046120124830164325	0.3151149322970969	0.04672306893425488	0.025211270834962596	0.023672112310043413	126.49572991175953	137.0	0.9233264957062739	143.5703567774312
2.0	1.0	12.0	0.5612714269393076	0.008097021778057725	37.64722612297567	0.013819769063928263	0.6311737533123293	0.015110507165745569	0.025340289643576857	0.025245230402977596	142.14403911947798	137.0	1.0375477307991094	159.21866598514964
2.0	1.0	12.0	0.1103777593694624	0.013387822377048757	38.96757968530275	0.04080994454832896	0.2741272471277029	0.04194551810931603	0.025340289643576857	0.025245230402977596	142.14403911947798	137.0	1.0375477307991094	159.21866598514964
1.0	1.0	16.0	0.41646220496587955	0.008724824398906986	37.942510875981455	0.013420371389428204	0.5547735087242623	0.013420371292012288	0.026699727038692417	0.02944397717364864	188.8785793368947	140.0	1.3491327095492478	197.1684344093584
1.0	1.0	20.0	0.3331524760790536	0.015274624006474054	38.04774093134853	0.0190466806210582	0.35976635424295916	0.019046680478032416	0.03764213567855452	0.031629736588060633	126.83938160589408	140.0	0.9059955828992434	135.1292366783578
